지역명,작업명,최종 대표 URL,수정 전 HTTP 상태,수정 후 HTTP 상태,canonical,통합 허브 포함 여부,XML Sitemap 포함 여부,도시명 포함형 alias 존재 여부,alias 리다이렉트 대상,검수 결과
"덕양구","간판청소","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EA%B0%84%ED%8C%90%EC%B2%AD%EC%86%8C","404","200","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EA%B0%84%ED%8C%90%EC%B2%AD%EC%86%8C","Y","Y","Y","N/A","정상 (HTTP 200)"
"고양 덕양구","간판청소","https://www.allcareseoul.co.kr/?k=%EA%B3%A0%EC%96%91%20%EB%8D%95%EC%96%91%EA%B5%AC-%EA%B0%84%ED%8C%90%EC%B2%AD%EC%86%8C","200","301","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EA%B0%84%ED%8C%90%EC%B2%AD%EC%86%8C","N","N","N/A","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EA%B0%84%ED%8C%90%EC%B2%AD%EC%86%8C","정상 (301 리다이렉트)"
"덕양구","인테리어 후 청소","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%9D%B8%ED%85%8C%EB%A6%AC%EC%96%B4%20%ED%9B%84%20%EC%B2%AD%EC%86%8C","404","200","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%9D%B8%ED%85%8C%EB%A6%AC%EC%96%B4%20%ED%9B%84%20%EC%B2%AD%EC%86%8C","Y","Y","Y","N/A","정상 (HTTP 200)"
"고양 덕양구","인테리어 후 청소","https://www.allcareseoul.co.kr/?k=%EA%B3%A0%EC%96%91%20%EB%8D%95%EC%96%91%EA%B5%AC-%EC%9D%B8%ED%85%8C%EB%A6%AC%EC%96%B4%20%ED%9B%84%20%EC%B2%AD%EC%86%8C","200","301","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%9D%B8%ED%85%8C%EB%A6%AC%EC%96%B4%20%ED%9B%84%20%EC%B2%AD%EC%86%8C","N","N","N/A","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%9D%B8%ED%85%8C%EB%A6%AC%EC%96%B4%20%ED%9B%84%20%EC%B2%AD%EC%86%8C","정상 (301 리다이렉트)"
"덕양구","준공청소","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%A4%80%EA%B3%B5%EC%B2%AD%EC%86%8C","404","200","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%A4%80%EA%B3%B5%EC%B2%AD%EC%86%8C","Y","Y","Y","N/A","정상 (HTTP 200)"
"고양 덕양구","준공청소","https://www.allcareseoul.co.kr/?k=%EA%B3%A0%EC%96%91%20%EB%8D%95%EC%96%91%EA%B5%AC-%EC%A4%80%EA%B3%B5%EC%B2%AD%EC%86%8C","200","301","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%A4%80%EA%B3%B5%EC%B2%AD%EC%86%8C","N","N","N/A","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%A4%80%EA%B3%B5%EC%B2%AD%EC%86%8C","정상 (301 리다이렉트)"
"덕양구","후드청소","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%9B%84%EB%93%9C%EC%B2%AD%EC%86%8C","404","200","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%9B%84%EB%93%9C%EC%B2%AD%EC%86%8C","Y","Y","Y","N/A","정상 (HTTP 200)"
"고양 덕양구","후드청소","https://www.allcareseoul.co.kr/?k=%EA%B3%A0%EC%96%91%20%EB%8D%95%EC%96%91%EA%B5%AC-%ED%9B%84%EB%93%9C%EC%B2%AD%EC%86%8C","200","301","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%9B%84%EB%93%9C%EC%B2%AD%EC%86%8C","N","N","N/A","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%9B%84%EB%93%9C%EC%B2%AD%EC%86%8C","정상 (301 리다이렉트)"
"덕양구","특수청소","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%8A%B9%EC%88%98%EC%B2%AD%EC%86%8C","404","200","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%8A%B9%EC%88%98%EC%B2%AD%EC%86%8C","Y","Y","Y","N/A","정상 (HTTP 200)"
"고양 덕양구","특수청소","https://www.allcareseoul.co.kr/?k=%EA%B3%A0%EC%96%91%20%EB%8D%95%EC%96%91%EA%B5%AC-%ED%8A%B9%EC%88%98%EC%B2%AD%EC%86%8C","200","301","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%8A%B9%EC%88%98%EC%B2%AD%EC%86%8C","N","N","N/A","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%8A%B9%EC%88%98%EC%B2%AD%EC%86%8C","정상 (301 리다이렉트)"
